credit_airline,flown_airline,flight_type,fare_code,rdm_base_mult,class_rdm_mult,total_rdm_mult,eqm_mult,eqd_mult,elite_bonus
DL,AF,INTRA-EUROPE,U, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AF,INTRA-EUROPE,K, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AF,INTRA-EUROPE,S, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,A, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,H, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,L, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,Q, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,T, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,E, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,N, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AF,INTRA-EUROPE,R, 0.25 ,, 0.25 , 1.00 , 0.05 ,1
DL,AF,INTRA-EUROPE,G, 0.25 ,, 0.25 , 1.00 , 0.05 ,1
DL,AF,INTRA-EUROPE,V, 0.25 ,, 0.25 , 1.00 , 0.05 ,1
